"","X","carat","cut","color","clarity","depth","table","price","x","y","z"
"11340",11340,1.01,"Good","F","SI1",63.8,59,4989,6.32,6.29,4.02
"24740",24740,2.17,"Premium","F","SI2",59.3,61,13084,8.6,8.53,5.08
"20063",20063,0.31,"Premium","F","VS2",60.8,60,625,4.34,4.37,2.65
"6702",6702,0.25,"Very Good","E","VS2",59.7,61,409,4.08,4.1,2.44
"50756",50756,0.7,"Ideal","H","SI2",61.8,57,2298,5.67,5.72,3.52
"10539",10539,1.01,"Premium","G","SI1",61,58,4808,6.53,6.49,3.97
"35854",35854,0.32,"Ideal","E","VVS1",61.7,55,917,4.39,4.43,2.72
"17090",17090,1.2,"Ideal","H","VS1",62.5,57,6814,6.81,6.73,4.23
"41117",41117,0.44,"Premium","F","VVS2",61.6,58,1196,4.85,4.89,3
"26224",26224,2.18,"Ideal","I","SI1",61.2,56,15646,8.39,8.51,5.17
"13682",13682,1.01,"Premium","E","SI1",62.6,58,5599,6.32,6.3,3.95
"30364",30364,0.36,"Premium","I","VS1",60.9,61,729,4.61,4.58,2.8
"10185",10185,1,"Good","G","SI1",63.9,60,4737,6.22,6.27,3.99
"35587",35587,0.42,"Ideal","G","VS2",62.2,54.1,907,4.8,4.83,3
"16758",16758,1.01,"Ideal","G","VS1",62.4,56,6672,6.39,6.44,4
"5702",5702,0.3,"Premium","D","SI2",62.9,58,574,4.29,4.26,2.69
"22459",22459,2,"Fair","I","SI2",65.2,59,10483,7.74,7.69,5.03
"21658",21658,1.22,"Premium","D","VS2",62,60,9756,6.79,6.74,4.22
"46003",46003,0.57,"Ideal","G","VS2",61,55,1725,5.38,5.4,3.29
"48664",48664,0.55,"Ideal","E","VS1",62,56,2001,5.24,5.27,3.26
"25013",25013,1.55,"Ideal","H","IF",61.4,57,13544,7.47,7.42,4.57
"6466",6466,0.94,"Fair","F","SI1",56.8,67,4053,6.56,6.44,3.69
"40553",40553,0.41,"Ideal","F","IF",62.2,54,1151,4.76,4.79,2.97
"43103",43103,0.5,"Ideal","H","VS1",61.6,58,1384,5.08,5.11,3.14
"35200",35200,0.41,"Good","F","VS1",58,61,891,4.86,4.9,2.83
"29609",29609,0.35,"Premium","F","VS2",61.8,58,706,4.48,4.52,2.78
"9205",9205,1.05,"Good","I","VS2",64.3,55,4550,6.46,6.42,4.14
"28445",28445,0.31,"Ideal","G","VVS2",61.5,57,671,4.32,4.36,2.67
"42909",42909,0.51,"Very Good","E","SI1",60.8,57,1363,5.12,5.17,3.13
"35275",35275,0.32,"Ideal","F","VVS1",61.9,56,895,4.41,4.44,2.74
"47114",47114,0.65,"Very Good","I","VVS2",61.3,59.3,1828,5.52,5.59,3.4
"36536",36536,0.4,"Ideal","I","VS1",63,56,945,4.72,4.68,2.96
"38230",38230,0.4,"Ideal","H","VVS1",62.2,55,1017,4.7,4.75,2.94
"17985",17985,1.07,"Ideal","G","VS2",61.9,55,7275,6.55,6.57,4.06
"33396",33396,0.31,"Ideal","F","VVS1",62,55,828,4.34,4.37,2.7
"9062",9062,1,"Fair","E","SI2",65.2,59,4516,6.28,6.27,4.09
"22942",22942,1.04,"Ideal","F","IF",61.8,55,10984,6.56,6.49,4.03
"5394",5394,0.3,"Premium","D","SI2",62.3,58,574,4.32,4.29,2.68
"15699",15699,0.29,"Ideal","H","IF",62.2,55,607,4.25,4.28,2.65
"10478",10478,0.93,"Premium","G","VS1",62.1,59,4793,6.21,6.16,3.84
"4268",4268,0.8,"Ideal","H","VS1",62.2,56,3581,5.92,5.95,3.69
"26619",26619,2.07,"Very Good","I","VS2",60.6,58,16378,8.24,8.29,5.01
"23359",23359,0.3,"Ideal","G","SI1",62.2,55,422,4.27,4.32,2.67
"29838",29838,0.3,"Premium","D","VS2",62.2,60,710,4.28,4.3,2.67
"52085",52085,0.77,"Premium","H","SI1",60.9,60,2457,5.89,5.87,3.58
"28922",28922,0.3,"Good","G","VVS2",63.5,54,684,4.25,4.26,2.7
"20747",20747,1.24,"Ideal","F","VS2",61.7,53,8983,6.93,6.9,4.27
"37635",37635,0.4,"Premium","D","SI1",61.4,56,990,4.83,4.72,2.93
"42481",42481,0.43,"Ideal","G","IF",61.3,56,1318,4.86,4.9,2.99
"35549",35549,0.35,"Ideal","H","VVS2",63,55,906,4.5,4.48,2.83
"42135",42135,0.5,"Premium","D","SI2",62.1,57,1279,5.12,5.09,3.17
"1726",1726,0.32,"Premium","G","VS2",61.9,58,561,4.36,4.43,2.72
"49638",49638,0.32,"Premium","G","SI2",62.3,58,540,4.42,4.37,2.74
"40581",40581,0.5,"Ideal","G","SI1",62.1,57,1153,5.05,5.09,3.15
"7792",7792,0.71,"Good","D","VS2",63.6,54,4289,5.7,5.75,3.64
"5059",5059,0.31,"Ideal","G","VS2",61.4,56,574,4.34,4.37,2.67
"32694",32694,0.31,"Very Good","G","VS1",63.2,56,802,4.29,4.28,2.71
"1020",1020,0.71,"Fair","E","VS2",64.6,59,2902,5.62,5.59,3.62
"6708",6708,0.23,"Premium","D","VS2",58.5,61,411,4.06,3.98,2.35
"43508",43508,0.43,"Ideal","F","VVS1",62,57,1422,4.84,4.81,2.99
"22671",22671,2.38,"Premium","J","SI2",60.6,59,10716,8.66,8.63,5.24
"26000",26000,4.01,"Premium","J","I1",62.5,62,15223,10.02,9.94,6.24
"14438",14438,1,"Good","F","VS1",64.8,59,5829,6.17,6.23,4.02
"42602",42602,0.32,"Ideal","I","VS1",60.9,56,505,4.44,4.46,2.71
"15957",15957,1,"Very Good","G","VS2",62.8,62,6386,6.28,6.33,3.96
"40433",40433,0.5,"Good","E","SI1",65.5,56,1136,4.9,4.99,3.24
"4507",4507,0.91,"Very Good","E","SI2",62.5,59,3632,6.16,6.23,3.87
"33764",33764,0.4,"Very Good","G","SI1",63.3,58,840,4.69,4.66,2.96
